Year,Revenue Growth (%),Operating Expenses ($M),S&P 500 Index,Interest Rates (%),Inflation (%),Industry Trends,Net Income ($M)
1925,1.2362035654208743,641.4313355903041,-126.00494431569817,9.571220166300344,-1.3092948798002686,7.5749305706670675,8.60164970643173
1926,18.521429192297486,3363.8468506870117,106.85477983624111,7.510020708609801,4.594346587884827,2.0303973969245543,160.9611766131676
1927,11.959818254342153,1914.60191484347,169.42257546781707,5.766363498858307,3.298366016480524,1.2222925350649776,194.11015475988063
1928,7.959754525911098,2788.5681102411627,18.341837606847633,6.311347089226346,8.652450193099597,-0.8988939210394067,-35.15371586382708
1929,-5.319440786726904,4584.049132667418,584.7710638451128,4.486200593064004,2.2109801506249447,-4.154367550236094,-157.390793782424
1930,-5.320164389913921,1621.8150311699374,356.78678620255954,2.853444400260996,-0.5951958028687296,7.970835643825799,68.23384144770428
1931,-8.257491634954016,2346.723153660334,74.16354298371266,3.881740447186985,-0.28409981536596973,7.193515136951163,100.44103899434856
1932,15.985284373248057,3899.980123443719,494.1390045550487,7.699538049411506,7.138127580609666,9.995765099291958,190.3005313929774
1933,8.033450352296263,1529.591744712301,218.29598918685892,0.6367381419826807,5.418616759795133,9.94955255610858,179.44551509156494
1934,11.242177333881365,846.4095942295685,621.053284384854,1.6026900848157042,-0.7865278865265171,3.3314755840394117,205.42753794361568
1935,-9.382465171125926,1803.8815381119562,745.7595198418849,0.9370250992066511,-0.9907183266200308,6.534811227707657,-39.19957334005912
1936,19.09729556485983,1225.4957926430197,400.30798077410236,0.8869236220302164,6.411629577509441,9.17148594823642,329.60452663043066
1937,14.973279224012654,4683.639435541579,807.5237106973491,8.626875548104568,-1.1268439236296777,7.744710860161172,80.6894951802229
1938,-3.629826679651716,4136.5417080398765,747.8087106398249,7.184749664110225,7.862320711484275,-1.289778473852035,-209.28610486023246
1939,-4.545250983786982,3350.3169042969057,880.0685976554636,5.00465137632959,6.474906725877954,1.7581620296514027,-87.67282032136566
1940,-4.497864704396985,4421.5726558447295,1145.4192025913956,1.429424526184514,-1.0238146322972028,-3.0626087727275753,-134.16930867363808
1941,-0.8727327112138674,4116.524346046015,767.3870232640724,5.1703508136099074,-0.981947430977697,9.310765408880835,98.12245116152627
1942,5.742692948967136,1339.5652649871613,716.121453997189,4.997981822415374,9.839674942014106,4.0926195167632,184.37482168349112
1943,2.9583505592634722,4516.5154932049,739.3698413476226,2.145417764145144,2.4912495490734443,-1.5703579174480593,-53.46761780620943
1944,-1.2631257940587428,2927.0400886204284,804.51471068368,4.621590667760744,2.4477057648026914,5.075510266087852,105.61842713675148
1945,8.355586841671386,4133.480698238282,1002.6604661979873,4.285794976775048,7.753594807090032,4.271923606868437,70.50192505678159
1946,-5.815184180438745,4532.41084965572,1136.7152434481773,6.350575931496056,9.366982928606305,0.3724407704926076,-171.03937228812725
1947,-1.235660543943455,1931.0156373733873,1174.2270487548926,6.533389683242616,9.83201276587445,-3.2966361170055647,96.13544578098727
1948,0.9908552988107502,995.2336603745455,1334.729579100134,0.9303880928344229,7.0405382231072995,5.073597933891994,235.38055840126847
